conn_id,conn_type,conn_date,conn_time,conn_user,conn_ip,conn_comp,conn_serv,conn_action,conn_app,conn_action_result,conn_client_id,conn_client_app,conn_client_agent,
837516,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837517,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837518,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837519,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837520,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837521,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837522,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837523,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837524,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837525,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837526,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837527,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837528,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
837529,0,2023-09-06,12:31:27,johnny,192.168.0.127,---,3,3,---,0,1e6bcc26e8bd3a51561b0da01b85febad7e58b60,Qsync,Qsync/5.1.1 (Windows 10; JOHNS-PC),
